Time,x,y,orientation,tau_y,tau_z
3.52,1.93399193446831,-0.5513912886702791,-1.8535370733020482,5.572540944243087e-05,0.004750012747356536
3.5300000000000002,1.92838132802664,-0.5707033095732705,-1.8635378379330432,3.270526574006283e-05,0.004754163591913496
3.54,1.9225778699976197,-0.5899582566503114,-1.8735384838137195,1.0890961110732178e-05,0.004695016512679118
3.5500000000000003,1.9165821432353942,-0.6091542042828972,-1.8835390108403058,-9.514217280681692e-06,0.004577862410037881
3.56,1.9103947498115514,-0.628289232855909,-1.8935394204914795,-2.8340157598449878e-05,0.004408384143061994
3.5700000000000003,1.9040163109207193,-0.6473614289439455,-1.903539715696093,-4.544980485299277e-05,0.004192553302750923
3.58,1.8974474667873116,-0.6663688854954892,-1.9135399006911027,-6.073862417466103e-05,0.003936530533987792
3.59,1.8906888765736554,-0.6853097020151309,-1.92353998087228,-7.413366853725734e-05,0.0036465704351673622
3.6,1.8837412182896724,-0.7041819847440854,-1.933539962640194,-8.559229427440584e-05,0.003328931982959915
3.61,1.8766051887042223,-0.7229838468392303,-1.9435398532438468,-9.510056364625541e-05,0.002989795285346375
3.62,1.8692815032581582,-0.7417134085508965,-1.9535396606242001,-0.00010267138312869406,0.002635185306631982
3.63,1.8617708959790933,-0.7603687973996339,-1.9635393932596714,-0.00010834242036850128,0.0022709030700340804
3.64,1.8540741193978216,-0.7789481483521623,-1.97353906001551,-0.00011217383293349314,0.0019024647248677695
3.65,1.8461919444662938,-0.7974496039967044,-1.9835386699987718,-0.00011424587880171089,0.0015350487427845394
3.66,1.8381251604770066,-0.815871314717881,-1.9935382324204156,-0.00011465640681329603,0.0011734513358785392
3.67,1.8298745749836274,-0.8342114388713284,-2.0035377564658408,-0.00011351831634698328,0.0008220501079847509
3.68,1.8214410137226458,-0.8524681429581784,-2.0135372511749825,-0.00011095697858287679,0.0004847758572346095
3.69,1.8128253205358174,-0.8706396017995174,-2.0235367253328715,-0.00010710769751121063,0.00016509228961680833
3.7,1.8040283572931457,-0.8887239987109196,-2.033536187371364,-0.00010211320167208271,-0.00013401661780321206
3.71,1.7950510038161347,-0.9067195256771247,-2.0435356452825495,-9.612122764401931e-05,-0.000410052001686978
3.72,1.7858941578010294,-0.9246243835269079,-2.0535351065441505,-8.928220607273829e-05,-0.0006609987037720089
3.73,1.7765587347417657,-0.9424367821081665,-2.0635345780570513,-8.174707528674219e-05,-0.0008853175255119083
3.74,1.7670456678523405,-0.9601549404632256,-2.0735340660949197,-7.366524545915354e-05,-0.0010819317286525632
3.75,1.7573559079883256,-0.9777770870043453,-2.0835335762657263,-6.518273574229738e-05,-0.001250208393255292
3.7600000000000002,1.7474904235672528,-0.9953014596893905,-2.0935331134848263,-5.6440468432228386e-05,-0.0013899351989365982
3.77,1.7374502004876071,-1.0127263061976082,-2.103532681959136,-4.757278255773656e-05,-0.001501293299455142
3.7800000000000002,1.727236242046187,-1.0300498841054393,-2.1135322851818255,-3.8706101257446335e-05,-0.0015848268830609413
3.79,1.716849568853598,-1.0472704610622818,-2.1235319259368475,-2.9957844827066538e-05,-0.0016414101446926566
3.8000000000000003,1.7062912187476729,-1.064386314966104,-2.1335316063125416,-2.143549666655531e-05,-0.0016722121793932843
3.81,1.695562246704631,-1.0813957341388027,-2.1435313277234895,-1.323590277380049e-05,-0.0016786604986052112
